Titulo,Documentary,Sci-Fi,Mystery,Horror,Romance,Thriller,Crime,Fantasy,Comedy,Animation,Children,Drama,Adventure,Duracao,Investimento,Gostou
Nixon (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,114496547,7930748498,1
Leaving Las Vegas (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,1101401909,1827655533,1
Persuasion (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,1057475965,1658223236,1
Babe (1995),0,0,0,0,0,0,0,0,0,0,1,1,0,1261319776,1300455253,1
Carrington (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,850254686,1441812043,1
Dead Man Walking (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,1096215458,437608499,1
Across the Sea of Time (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,8160425277,1494324027,0
To Die For (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,1386375948,6299150069,1
Seven (a.k.a. Se7en) (1995),0,0,1,0,0,0,0,0,0,0,0,0,0,1161432613,3795008325,1
Usual Suspects The (1995),0,0,1,0,0,0,1,0,0,0,0,0,0,8431961284,6337630684,1
Mighty Aphrodite (1995),0,0,0,0,1,0,0,0,1,0,0,1,0,1038121813,671476874,1
Postman The (Postino Il) (1994),0,0,0,0,1,0,0,0,1,0,0,1,0,9137535713,243162507,1
From Dusk Till Dawn (1996),0,0,0,1,0,0,0,0,1,0,0,0,0,9988373854,5670608576,0
Crossing Guard The (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,1193760297,7050147025,1
Beautiful Girls (1996),0,0,0,0,1,0,0,0,1,0,0,1,0,1112147379,9564869072,0
Taxi Driver (1976),0,0,0,0,0,0,1,0,0,0,0,1,0,84818368,1423046318,1
Young Poisoner's Handbook The (1995),0,0,0,0,0,0,1,0,0,0,0,1,0,1513611696,2528566276,1
Flirting With Disaster (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,1064078916,1787855563,1
Basketball Diaries The (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,1155643513,3441268048,1
Apollo 13 (1995),0,0,0,0,0,0,0,0,0,0,0,1,1,1423861476,1220807161,1
Clockers (1995),0,0,1,0,0,0,1,0,0,0,0,1,0,1206259474,4921213376,1
Crumb (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,9912969231,1859238983,1
Smoke (1995),0,0,0,0,0,0,0,0,1,0,0,1,0,1128084268,3661504342,1
Total Eclipse (1995),0,0,0,0,1,0,0,0,0,0,0,1,0,1422395221,2161755258,1
Don Juan DeMarco (1995),0,0,0,0,1,0,0,0,1,0,0,1,0,7894816163,1730694698,1
Ed Wood (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,1151578819,207518854,1
Hoop Dreams (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,1259576014,8878632857,1
